order_id,customer_id,email,order_date,order_channel,payment_method,shipping_speed,is_expedited,agent_id,shipping_address,billing_address,order_total,total_items,clv_bucket
SO-14967939,GUEST-101100,rileyrobert@example.net,2024-08-01,ebay,ebay,overnight,True,ONLINE,"31177 Jamie Spurs, New Timothychester, CT 02549","31177 Jamie Spurs, New Timothychester, CT 02549",8694.61,27,unknown
SO-92322574,GUEST-101100,rileyrobert@example.net,2025-06-18,"social media","apple pay",overnight,True,ONLINE,"31177 Jamie Spurs, New Timothychester, CT 02549","31177 Jamie Spurs, New Timothychester, CT 02549",289.18,1,unknown
SO-41893081,GUEST-100877,alexanderstrickland@example.net,2025-06-25,web,"google pay",two-day,True,ONLINE,"127 Ashley Point Apt. 629, Justinville, NH 70302","127 Ashley Point Apt. 629, Justinville, NH 70302",2091.35,5,unknown
SO-76958405,GUEST-100877,alexanderstrickland@example.net,2024-09-29,ebay,ebay,standard,False,ONLINE,"127 Ashley Point Apt. 629, Justinville, NH 70302","127 Ashley Point Apt. 629, Justinville, NH 70302",593.01,3,unknown
SO-06787120,GUEST-100877,alexanderstrickland@example.net,2024-08-29,web,paypal,standard,False,ONLINE,"127 Ashley Point Apt. 629, Justinville, NH 70302","127 Ashley Point Apt. 629, Justinville, NH 70302",2971.28,16,unknown
SO-47242795,GUEST-100829,holmesmelinda@example.com,2025-04-24,"social media","google pay",standard,False,ONLINE,"838 Nixon Grove, Elizabethchester, VT 35029","838 Nixon Grove, Elizabethchester, VT 35029",3924.18,20,unknown
SO-53755930,GUEST-100829,holmesmelinda@example.com,2024-11-30,web,"apple pay",standard,False,ONLINE,"838 Nixon Grove, Elizabethchester, VT 35029","838 Nixon Grove, Elizabethchester, VT 35029",6909.38,40,unknown
SO-75437703,GUEST-100829,holmesmelinda@example.com,2025-04-16,web,"google pay",two-day,True,"","838 Nixon Grove, Elizabethchester, VT 35029","838 Nixon Grove, Elizabethchester, VT 35029",1140.54,9,unknown
SO-97462290,GUEST-100735,ubrown@example.org,2025-05-04,web,ach,standard,False,"","2957 Mcmahon Corners, Hodgeville, GU 54090","2957 Mcmahon Corners, Hodgeville, GU 54090",2121.45,5,unknown
SO-92799771,GUEST-100735,ubrown@example.org,2024-07-26,web,paypal,standard,False,ONLINE,"2957 Mcmahon Corners, Hodgeville, GU 54090","2957 Mcmahon Corners, Hodgeville, GU 54090",4546.49,18,unknown
SO-06107200,GUEST-100735,ubrown@example.org,2024-07-30,web,"google pay",standard,False,ONLINE,"2957 Mcmahon Corners, Hodgeville, GU 54090","2957 Mcmahon Corners, Hodgeville, GU 54090",7253.91,23,unknown
SO-93020355,GUEST-100151,jeffreyortiz@example.net,2024-12-21,web,ach,standard,False,ONLINE,"2469 Henderson Ways, Michaelbury, VT 71799","2469 Henderson Ways, Michaelbury, VT 71799",850.74,17,unknown
SO-08640647,GUEST-100151,jeffreyortiz@example.net,2025-05-09,web,ach,overnight,True,ONLINE,"2469 Henderson Ways, Michaelbury, VT 71799","2469 Henderson Ways, Michaelbury, VT 71799",724.16,6,unknown
SO-72869564,GUEST-100151,jeffreyortiz@example.net,2025-04-11,ebay,ebay,standard,False,ONLINE,"2469 Henderson Ways, Michaelbury, VT 71799","2469 Henderson Ways, Michaelbury, VT 71799",536.06,2,unknown
SO-15087547,GUEST-100487,jenkinscarl@example.org,2024-09-25,web,"google pay",two-day,True,ONLINE,"30449 Taylor Crest Suite 966, Kimberlyton, TX 10760","30449 Taylor Crest Suite 966, Kimberlyton, TX 10760",1705.1,6,unknown
SO-59760501,GUEST-100487,jenkinscarl@example.org,2025-04-24,web,paypal,two-day,True,ONLINE,"30449 Taylor Crest Suite 966, Kimberlyton, TX 10760","30449 Taylor Crest Suite 966, Kimberlyton, TX 10760",3900.8,23,unknown
SO-72758216,GUEST-100825,ujones@example.net,2024-07-29,web,paypal,standard,False,ONLINE,"84125 Keith Place Apt. 158, Lake Brianfurt, NH 96318","84125 Keith Place Apt. 158, Lake Brianfurt, NH 96318",4374.73,21,unknown
SO-48708999,GUEST-100825,ujones@example.net,2025-06-24,ebay,ebay,overnight,True,ONLINE,"84125 Keith Place Apt. 158, Lake Brianfurt, NH 96318","84125 Keith Place Apt. 158, Lake Brianfurt, NH 96318",5111.34,22,unknown
SO-87917919,GUEST-100825,ujones@example.net,2025-04-11,web,"credit card",standard,False,ONLINE,"84125 Keith Place Apt. 158, Lake Brianfurt, NH 96318","84125 Keith Place Apt. 158, Lake Brianfurt, NH 96318",6816.17,23,unknown
SO-39491292,GUEST-100731,michaelsalas@example.com,2025-06-16,web,ach,standard,False,ONLINE,"6532 Sheila Plains, Haysmouth, PR 35062","6532 Sheila Plains, Haysmouth, PR 35062",1684.16,7,unknown
SO-61180978,GUEST-100321,olester@example.net,2025-02-23,web,"credit card",standard,False,ONLINE,"5379 April Ridge, Vaughnstad, ND 13149","5379 April Ridge, Vaughnstad, ND 13149",3924.45,16,unknown
SO-94618805,GUEST-100321,olester@example.net,2024-11-20,phone,"credit card",overnight,True,CSR-0006,"5379 April Ridge, Vaughnstad, ND 13149","5379 April Ridge, Vaughnstad, ND 13149",2098.71,15,unknown
SO-06393024,GUEST-100321,olester@example.net,2024-11-15,ebay,ebay,standard,False,ONLINE,"5379 April Ridge, Vaughnstad, ND 13149","5379 April Ridge, Vaughnstad, ND 13149",10249.23,56,unknown
SO-80824183,GUEST-100820,thomas70@example.net,2025-01-03,phone,"credit card",standard,False,CSR-0007,"962 Jose Knolls Suite 719, Kristinahaven, LA 95161","962 Jose Knolls Suite 719, Kristinahaven, LA 95161",9534.93,33,unknown
SO-20671802,GUEST-100820,thomas70@example.net,2025-02-17,phone,ach,two-day,True,CSR-0018,"962 Jose Knolls Suite 719, Kristinahaven, LA 95161","962 Jose Knolls Suite 719, Kristinahaven, LA 95161",5127.45,19,unknown
SO-90052081,GUEST-101230,matthewstuart@example.com,2024-08-05,web,"apple pay",overnight,True,"","491 Kristy Shoals Suite 588, Port Amanda, MI 39165","491 Kristy Shoals Suite 588, Port Amanda, MI 39165",7527.11,29,unknown
SO-21021473,GUEST-100778,spatterson@example.com,2025-02-02,phone,ach,standard,False,CSR-0008,"780 Ryan Mountains, Adamsview, NY 27187","780 Ryan Mountains, Adamsview, NY 27187",5272.71,31,unknown
SO-34339544,GUEST-100778,spatterson@example.com,2025-06-18,phone,ach,standard,False,CSR-0003,"780 Ryan Mountains, Adamsview, NY 27187","780 Ryan Mountains, Adamsview, NY 27187",9718.45,34,unknown
SO-47266945,GUEST-100778,spatterson@example.com,2025-02-01,web,"google pay",standard,False,ONLINE,"780 Ryan Mountains, Adamsview, NY 27187","780 Ryan Mountains, Adamsview, NY 27187",5652.08,26,unknown
SO-78166577,GUEST-100405,brandycampbell@example.net,2024-12-18,web,"apple pay",standard,False,ONLINE,"9026 Michael Squares Suite 449, Williamshaven, PW 69882","9026 Michael Squares Suite 449, Williamshaven, PW 69882",2440.2,28,unknown
SO-33385066,GUEST-100405,brandycampbell@example.net,2025-01-08,web,paypal,standard,False,ONLINE,"9026 Michael Squares Suite 449, Williamshaven, PW 69882","9026 Michael Squares Suite 449, Williamshaven, PW 69882",10020.72,27,unknown
SO-08030145,GUEST-100405,brandycampbell@example.net,2025-02-20,phone,"credit card",standard,False,CSR-0018,"9026 Michael Squares Suite 449, Williamshaven, PW 69882","9026 Michael Squares Suite 449, Williamshaven, PW 69882",4523.23,16,unknown
SO-56935314,GUEST-100203,iwhite@example.com,2024-09-11,ebay,ebay,overnight,True,ONLINE,"754 Thomas Underpass Suite 043, New Jasminborough, PA 79854","754 Thomas Underpass Suite 043, New Jasminborough, PA 79854",2295.75,9,unknown
SO-17820909,GUEST-100203,iwhite@example.com,2024-10-19,web,"apple pay",standard,False,ONLINE,"754 Thomas Underpass Suite 043, New Jasminborough, PA 79854","754 Thomas Underpass Suite 043, New Jasminborough, PA 79854",2008.36,11,unknown
SO-31341457,GUEST-100605,margaretreyes@example.org,2025-03-15,web,"credit card",overnight,True,ONLINE,"4619 Christopher Fort, Rickytown, WV 35462","4619 Christopher Fort, Rickytown, WV 35462",7842.14,24,unknown
SO-30932997,GUEST-100605,margaretreyes@example.org,2025-01-20,web,"apple pay",two-day,True,ONLINE,"4619 Christopher Fort, Rickytown, WV 35462","4619 Christopher Fort, Rickytown, WV 35462",2116.9,5,unknown
SO-90964563,GUEST-100629,samantharobinson@example.com,2025-06-11,web,paypal,standard,False,ONLINE,"11155 Rowe Mountains Suite 410, Franklinville, KS 12007","11155 Rowe Mountains Suite 410, Franklinville, KS 12007",4312.33,15,unknown
SO-27596060,GUEST-100629,samantharobinson@example.com,2024-07-25,"social media","credit card",standard,False,ONLINE,"11155 Rowe Mountains Suite 410, Franklinville, KS 12007","11155 Rowe Mountains Suite 410, Franklinville, KS 12007",5889.83,16,unknown
SO-36365479,GUEST-100385,foxcarlos@example.org,2024-10-20,ebay,ebay,standard,False,ONLINE,"225 Byrd Ridges Suite 691, Holderberg, MP 53157","225 Byrd Ridges Suite 691, Holderberg, MP 53157",1806.41,7,unknown
SO-96542477,GUEST-100385,foxcarlos@example.org,2025-01-03,phone,ach,overnight,True,CSR-0005,"225 Byrd Ridges Suite 691, Holderberg, MP 53157","225 Byrd Ridges Suite 691, Holderberg, MP 53157",12884.16,35,unknown
SO-70483675,GUEST-100099,alvaradomeghan@example.net,2025-04-27,web,"credit card",overnight,True,ONLINE,"8028 Kayla Cove Apt. 591, Lake Amber, MN 46826","8028 Kayla Cove Apt. 591, Lake Amber, MN 46826",747.23,4,unknown
SO-70426528,GUEST-100099,alvaradomeghan@example.net,2024-10-30,web,paypal,two-day,True,ONLINE,"8028 Kayla Cove Apt. 591, Lake Amber, MN 46826","8028 Kayla Cove Apt. 591, Lake Amber, MN 46826",5404.7,25,unknown
SO-63346525,GUEST-100099,alvaradomeghan@example.net,2024-10-29,web,"google pay",two-day,True,ONLINE,"8028 Kayla Cove Apt. 591, Lake Amber, MN 46826","8028 Kayla Cove Apt. 591, Lake Amber, MN 46826",6711.98,27,unknown
SO-03413282,GUEST-100570,qmiller@example.net,2025-06-25,web,ach,standard,False,ONLINE,"USNS Benson, FPO AP 55810","USNS Benson, FPO AP 55810",5962.81,20,unknown
SO-05374926,GUEST-100871,heathersmith@example.net,2024-08-21,phone,"credit card",standard,False,CSR-0020,"67232 Gomez Knolls Apt. 424, Thompsonshire, CT 60489","67232 Gomez Knolls Apt. 424, Thompsonshire, CT 60489",3824.97,9,unknown
SO-38249811,GUEST-100746,christopherprince@example.org,2025-06-02,phone,ach,standard,False,CSR-0018,"95328 Mendoza Station Apt. 016, New Charles, HI 29177","95328 Mendoza Station Apt. 016, New Charles, HI 29177",4415.58,19,unknown
SO-43925702,GUEST-100062,michael88@example.com,2025-03-30,web,"credit card",standard,False,ONLINE,"12726 Catherine Trail Suite 969, Lake Bobby, NE 78570","12726 Catherine Trail Suite 969, Lake Bobby, NE 78570",2939.73,9,unknown
SO-81665754,GUEST-100062,michael88@example.com,2024-09-09,web,ach,two-day,True,ONLINE,"12726 Catherine Trail Suite 969, Lake Bobby, NE 78570","12726 Catherine Trail Suite 969, Lake Bobby, NE 78570",5531.19,15,unknown
SO-88505710,GUEST-101243,cruzarthur@example.org,2024-09-08,ebay,ebay,standard,False,ONLINE,"9146 Ware Via Apt. 247, East Bethany, PA 43259","9146 Ware Via Apt. 247, East Bethany, PA 43259",1524.84,13,unknown
SO-70904275,GUEST-100950,carmen71@example.com,2024-11-28,web,paypal,two-day,True,ONLINE,"Unit 0864 Box 7198, DPO AP 45952","Unit 0864 Box 7198, DPO AP 45952",8068.18,40,unknown
SO-50752298,GUEST-100950,carmen71@example.com,2024-10-10,"social media","credit card",overnight,True,ONLINE,"Unit 0864 Box 7198, DPO AP 45952","Unit 0864 Box 7198, DPO AP 45952",6683.29,30,unknown
SO-64851637,GUEST-100950,carmen71@example.com,2025-07-20,web,"credit card",standard,False,ONLINE,"Unit 0864 Box 7198, DPO AP 45952","Unit 0864 Box 7198, DPO AP 45952",5139.28,23,unknown
SO-94563367,GUEST-101159,todd57@example.com,2024-10-19,ebay,ebay,standard,False,ONLINE,"005 Danielle Lock Suite 866, North Jamesport, TX 02878","005 Danielle Lock Suite 866, North Jamesport, TX 02878",6755.16,28,unknown
SO-03909510,GUEST-101159,todd57@example.com,2024-12-04,web,paypal,two-day,True,ONLINE,"005 Danielle Lock Suite 866, North Jamesport, TX 02878","005 Danielle Lock Suite 866, North Jamesport, TX 02878",3922.28,27,unknown
SO-22463223,GUEST-101159,todd57@example.com,2024-11-03,"social media","credit card",overnight,True,ONLINE,"005 Danielle Lock Suite 866, North Jamesport, TX 02878","005 Danielle Lock Suite 866, North Jamesport, TX 02878",3705.22,32,unknown
SO-18824492,GUEST-100456,cameron83@example.net,2025-03-23,phone,ach,standard,False,CSR-0014,"5586 Mark Stravenue Suite 995, Spencefurt, MN 28046","5586 Mark Stravenue Suite 995, Spencefurt, MN 28046",5113.0,18,unknown
SO-36407442,GUEST-100456,cameron83@example.net,2025-01-07,web,ach,standard,False,ONLINE,"5586 Mark Stravenue Suite 995, Spencefurt, MN 28046","5586 Mark Stravenue Suite 995, Spencefurt, MN 28046",577.52,3,unknown
SO-02661037,GUEST-100456,cameron83@example.net,2024-09-29,web,"credit card",standard,False,ONLINE,"5586 Mark Stravenue Suite 995, Spencefurt, MN 28046","5586 Mark Stravenue Suite 995, Spencefurt, MN 28046",4824.81,19,unknown
SO-95023846,GUEST-100478,kylie50@example.org,2024-10-23,newegg,newegg,overnight,True,ONLINE,"18586 Kenneth Plains, Smithchester, PW 30589","18586 Kenneth Plains, Smithchester, PW 30589",1847.13,5,unknown
SO-92666951,GUEST-100478,kylie50@example.org,2024-07-28,newegg,newegg,standard,False,ONLINE,"18586 Kenneth Plains, Smithchester, PW 30589","18586 Kenneth Plains, Smithchester, PW 30589",6796.0,34,unknown
SO-10553344,GUEST-100322,stevenlopez@example.com,2024-11-04,phone,"credit card",standard,False,CSR-0020,"0020 Patricia Heights Suite 729, Maryhaven, KS 44742","0020 Patricia Heights Suite 729, Maryhaven, KS 44742",1245.51,15,unknown
SO-74894662,GUEST-100322,stevenlopez@example.com,2024-09-02,web,"credit card",two-day,True,ONLINE,"0020 Patricia Heights Suite 729, Maryhaven, KS 44742","0020 Patricia Heights Suite 729, Maryhaven, KS 44742",2485.55,9,unknown
SO-09227305,GUEST-101209,anthonypatton@example.net,2024-07-27,newegg,newegg,standard,False,ONLINE,"28313 Katie Glens, New Lauraburgh, OR 58989","28313 Katie Glens, New Lauraburgh, OR 58989",538.26,2,unknown
SO-85276625,GUEST-101209,anthonypatton@example.net,2025-07-21,web,"credit card",overnight,True,ONLINE,"28313 Katie Glens, New Lauraburgh, OR 58989","28313 Katie Glens, New Lauraburgh, OR 58989",4747.38,17,unknown
SO-55518371,GUEST-101209,anthonypatton@example.net,2025-07-13,web,paypal,standard,False,ONLINE,"28313 Katie Glens, New Lauraburgh, OR 58989","28313 Katie Glens, New Lauraburgh, OR 58989",8424.51,36,unknown
SO-75791749,GUEST-100596,susan04@example.com,2024-09-10,web,ach,two-day,True,ONLINE,"0554 George Squares, North Roger, KY 92014","0554 George Squares, North Roger, KY 92014",92.69,5,unknown
SO-30987064,GUEST-100596,susan04@example.com,2025-04-06,phone,"credit card",standard,False,CSR-0015,"0554 George Squares, North Roger, KY 92014","0554 George Squares, North Roger, KY 92014",5389.09,26,unknown
SO-75792106,GUEST-100596,susan04@example.com,2024-08-26,web,"apple pay",standard,False,ONLINE,"0554 George Squares, North Roger, KY 92014","0554 George Squares, North Roger, KY 92014",8630.06,27,unknown
SO-39409644,GUEST-101058,littlejeff@example.com,2024-10-10,web,"google pay",overnight,True,ONLINE,"2885 Cox Pines Apt. 234, Lake Erica, MS 03651","2885 Cox Pines Apt. 234, Lake Erica, MS 03651",386.27,1,unknown
SO-76156383,GUEST-100069,pturner@example.net,2025-07-19,web,"credit card",two-day,True,ONLINE,"125 Greene Forge Suite 844, Michaeltown, KS 34094","125 Greene Forge Suite 844, Michaeltown, KS 34094",11959.36,39,unknown
SO-12532548,GUEST-100326,kennethcook@example.net,2024-12-27,web,"credit card",standard,False,ONLINE,"473 Jones Roads Apt. 391, Carlborough, KS 77070","473 Jones Roads Apt. 391, Carlborough, KS 77070",5694.88,44,unknown
SO-92624886,GUEST-101174,mary49@example.com,2025-04-29,ebay,ebay,standard,False,ONLINE,"7992 Johnston Track Suite 890, Smithland, PA 44111","7992 Johnston Track Suite 890, Smithland, PA 44111",2085.95,10,unknown
SO-66207112,GUEST-101174,mary49@example.com,2024-07-31,web,"credit card",standard,False,ONLINE,"7992 Johnston Track Suite 890, Smithland, PA 44111","7992 Johnston Track Suite 890, Smithland, PA 44111",6510.11,25,unknown
SO-71580911,GUEST-101265,loganmatthew@example.net,2025-05-28,phone,"credit card",standard,False,CSR-0018,"250 Estes Tunnel Suite 496, Lake Karen, MT 27169","250 Estes Tunnel Suite 496, Lake Karen, MT 27169",3595.26,16,unknown
SO-76712082,GUEST-100867,wmiller@example.net,2025-06-03,phone,ach,standard,False,CSR-0015,"71059 Morgan Stream, Port Michael, ME 40928","71059 Morgan Stream, Port Michael, ME 40928",4637.45,25,unknown
SO-48986760,GUEST-100867,wmiller@example.net,2025-03-28,ebay,ebay,standard,False,ONLINE,"71059 Morgan Stream, Port Michael, ME 40928","71059 Morgan Stream, Port Michael, ME 40928",7339.49,26,unknown
SO-42851175,GUEST-100770,megan17@example.org,2024-11-28,web,"apple pay",standard,False,ONLINE,"76825 Taylor Trail Apt. 108, West Jonathantown, PW 50626","76825 Taylor Trail Apt. 108, West Jonathantown, PW 50626",8696.36,39,unknown
SO-68418137,GUEST-100557,andreabrown@example.com,2024-09-28,web,ach,two-day,True,ONLINE,"PSC 8712, Box 9193, APO AE 15484","PSC 8712, Box 9193, APO AE 15484",6155.32,26,unknown
SO-86075416,GUEST-100557,andreabrown@example.com,2025-07-07,web,paypal,overnight,True,"","PSC 8712, Box 9193, APO AE 15484","PSC 8712, Box 9193, APO AE 15484",3977.85,19,unknown
SO-45702372,GUEST-100643,nicholashutchinson@example.org,2025-03-09,ebay,ebay,overnight,True,"","769 Mccarty Park, South Danielle, VT 53306","769 Mccarty Park, South Danielle, VT 53306",2176.62,8,unknown
SO-10288343,GUEST-100643,nicholashutchinson@example.org,2025-03-23,ebay,ebay,standard,False,ONLINE,"769 Mccarty Park, South Danielle, VT 53306","769 Mccarty Park, South Danielle, VT 53306",7668.21,32,unknown
SO-12214204,GUEST-100643,nicholashutchinson@example.org,2025-04-28,web,"credit card",two-day,True,ONLINE,"769 Mccarty Park, South Danielle, VT 53306","769 Mccarty Park, South Danielle, VT 53306",8079.73,32,unknown
SO-94364915,GUEST-100887,soliskayla@example.com,2025-02-06,web,"apple pay",two-day,True,ONLINE,"3707 Jonathan River, New Nathan, AS 69383","3707 Jonathan River, New Nathan, AS 69383",2177.36,11,unknown
SO-98129851,GUEST-100887,soliskayla@example.com,2025-06-26,phone,ach,standard,False,CSR-0014,"3707 Jonathan River, New Nathan, AS 69383","3707 Jonathan River, New Nathan, AS 69383",6595.49,32,unknown
SO-89428788,GUEST-100715,katherinepittman@example.org,2024-11-10,ebay,ebay,two-day,True,ONLINE,"3255 Samantha Circles Suite 747, New Samantha, MI 11876","3255 Samantha Circles Suite 747, New Samantha, MI 11876",1856.3,7,unknown
SO-46230112,GUEST-100715,katherinepittman@example.org,2025-07-18,web,"apple pay",standard,False,ONLINE,"3255 Samantha Circles Suite 747, New Samantha, MI 11876","3255 Samantha Circles Suite 747, New Samantha, MI 11876",235.5,3,unknown
